Parental Level,Game Title,File Offset,PlayStation PRO Support,Current Version,Instant Download,Package Size,PlayStation VR,Piece,SHA1 Hash,Title ID,Play Together
4,RESOGUN,0,Yes,1.1,http://gs2.ww.prod.dl.playstation.net/gs2/ppkgo/prod/CUSA00038_00/18/f_53d18e85d8f3431d4cbd266bbac634e3f8c06814429f183ffcb0f7ce828b2612/f/UP9000-CUSA00038_00-RESOGUN000000002-A0110-V0100.pkg,636.9MB,No,0,4913ebfb081d891e7d25406934be85835ae566ed,CUSA00038_00,2
3,MLB 14 The Show,0,No,1.13,http://gs2.ww.prod.dl.playstation.net/gs2/ppkgo/prod/CUSA00039_00/22/f_ea01c52fdb74067fba34cff6d4cbb90d37beb57f4edfb591abc6e3501f60fe03/f/UP9000-CUSA00039_00-MLBTHESHOW14SHIP-A0113-V0100.pkg,207.7MB,No,0,3a75aeaef2b0097ca180bfbc6f75e7d0c8712099,CUSA00039_00,
2,Sound Shapes,0,No,1.14,http://gs2.ww.prod.dl.playstation.net/gs2/ppkgo/prod/CUSA00040_00/8/f_ba1044c2b2a9b350a4cc86500437faff17068d6bab6ed11d7a8b87b745fdb6f5/f/EP9000-CUSA00040_00-SOUNDSHAPES00000-A0114-V0100.pkg,34.8MB,No,0,8cbe2c591648897eadc9dfaa181ce29d992079c5,CUSA00040_00,
4,N++,0,No,1.09,http://gs2.ww.prod.dl.playstation.net/gs2/ppkgo/prod/CUSA00041_00/22/f_2554a6748657b7879d8a672a90a21985439402db7a84ee0fdd263e9d6652e5d2/f/UP2108-CUSA00041_00-NPPGAMENPPGAMENP-A0109-V0100.pkg,722.4MB,No,0,530a7570111b6c7ad498a85988445d458b915646,CUSA00041_00,
5,Basement Crawl,0,No,1.01,http://gs2.ww.prod.dl.playstation.net/gs2/ppkgo/prod/CUSA00043_00/6/f_d536b7f288c260eab619a24a8271841051b609f86e815c4e2c67ac3beb9e9f86/f/UP4176-CUSA00043_00-BASEMENTCRAWL001-A0101-V0103.pkg,464.6MB,No,0,d54b625d2fac5652d175d979c8d2c2e838212857,CUSA00043_00,
5,LEGO MARVEL Super Heroes,0,No,1.02,http://gs2.ww.prod.dl.playstation.net/gs2/ppkgo/prod/CUSA00044_00/2/f_2a8c1b41c0497b480349c3a3c718c2958c6ee7c74ba6f3b48a94decd03430326/f/EP1018-CUSA00044_00-LEGOMARVEL000000-A0102-V0100.pkg,36.1MB,No,0,512753052e0ff9e34cdacf46c6d0bc09251811fd,CUSA00044_00,
3,Doki-Doki Universe,0,No,1.02,http://gs2.ww.prod.dl.playstation.net/gs2/ppkgo/prod/CUSA00046_00/2/f_b08b53f918b004eaa07f2b6f32fa34da5fa325a89584ef149ff9c0f3925380f3/f/EP9000-CUSA00046_00-DDU0000000000000-A0102-V0100.pkg,64.8MB,No,0,ce53552fb41f532447e13757d5eedef722ca2c11,CUSA00046_00,
7,Blast 'Em Bunnies,0,No,1.02,http://gs2.ww.prod.dl.playstation.net/gs2/ppkgo/prod/CUSA00047_00/4/f_79c448c40eac2d6c32e1bd042331af84cc8b1aaaa442eb9333b1c1d55377a907/f/EP4352-CUSA00047_00-NNBLASTBUNNIESEU-A0102-V0100.pkg,20.6MB,No,0,88551ff3f7357b9f6221e1f74dac71ce5bceaac0,CUSA00047_00,
5,Basement Crawl,0,No,1.01,http://gs2.ww.prod.dl.playstation.net/gs2/ppkgo/prod/CUSA00048_00/3/f_39af1694a82ef627315d2a29d63871ad55bc8ea45cf65b883ccd38609e37b60e/f/EP4176-CUSA00048_00-BASEMENTCRAWL001-A0101-V0102.pkg,457MB,No,0,26c2d91bcced64a0083aee4389f20ba6c952448c,CUSA00048_00,
7,Injustice: Gods Among Us Ultimate Edition,0,No,1.02,http://gs2.ww.prod.dl.playstation.net/gs2/ppkgo/prod/CUSA00051_00/2/f_41c886483cfce25f7fb0f0468dbadbe4c96464665d1004c40218127831b69418/f/EP1018-CUSA00051_00-INJUSTICEULTIMAT-A0102-V0100.pkg,80.3MB,No,0,bd9ad253f65a99eb8ef9784664e9f7ee1df7baf6,CUSA00051_00,
3,The LEGO Movie - Videogame,0,No,1.01,http://gs2.ww.prod.dl.playstation.net/gs2/ppkgo/prod/CUSA00052_00/5/f_396a65361903b6a4a7378e1b92664e31f2e0acbf1cae2adcbc876eec37e29133/f/EP1018-CUSA00052_00-LEGOMOVIE0000000-A0101-V0104.pkg,187.9MB,No,0,66a59f6a1e55f6ae9ed217abccedddf219396f06,CUSA00052_00,
9,Mad Max,0,No,1.04,http://gs2.ww.prod.dl.playstation.net/gs2/ppkgo/prod/CUSA00054_00/4/f_e10df9794afb8f99c4be4537f4be04167f1c88159890bec7517933880efb39b5/f/EP1018-CUSA00054_00-MADMAXTHEGAME001-A0104-V0100.pkg,406.4MB,No,0,857b1479e70cd9ebda52da417b349d7e4802adb0,CUSA00054_00,
4,Tiny Brains,0,No,1.02,http://gs2.ww.prod.dl.playstation.net/gs2/ppkgo/prod/CUSA00055_00/6/f_b9bff0ca28813a2433454d628813842f132f5921d3b95a9f777658e87a40b5c0/f/UP4040-CUSA00055_00-TINYBRAINSGAME01-A0102-V0102.pkg,421.1MB,No,0,5100ae2d945303ebf93d5967517f55bb95f3546a,CUSA00055_00,
